condition_id,event_start,ts_ms,event_end_ms,up_best_ask,up_best_bid,down_best_ask,down_best_bid,up_ask_sz_1,down_ask_sz_1
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681965389,1785682200000,0.570000,0.560000,0.440000,0.430000,155.45,7.12
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681965891,1785682200000,0.570000,0.560000,0.440000,0.430000,10,129.88
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681966389,1785682200000,0.580000,0.570000,0.430000,0.420000,16,478.26
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681966890,1785682200000,0.580000,0.570000,0.430000,0.420000,794.85,5
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681967391,1785682200000,0.550000,0.540000,0.460000,0.450000,364.96,0.49
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681967890,1785682200000,0.530000,0.520000,0.480000,0.470000,145.23,50
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681968389,1785682200000,0.520000,0.510000,0.490000,0.480000,166.91,209.32
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681968890,1785682200000,0.520000,0.510000,0.490000,0.480000,296.3,28.73
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681969390,1785682200000,0.500000,0.490000,0.510000,0.500000,269.79,51.13
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681969889,1785682200000,0.390000,0.380000,0.620000,0.610000,121.37,87.58
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681970390,1785682200000,0.420000,0.390000,0.610000,0.580000,35,6
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681970891,1785682200000,0.410000,0.400000,0.600000,0.590000,725.27,144.73
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681971389,1785682200000,0.390000,0.380000,0.620000,0.610000,60.49,55.96
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681971891,1785682200000,0.390000,0.380000,0.620000,0.610000,114.79,287.2
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681972389,1785682200000,0.390000,0.380000,0.620000,0.610000,104.79,301.2
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681972890,1785682200000,0.370000,0.360000,0.640000,0.630000,65.68,450.17
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681973391,1785682200000,0.370000,0.360000,0.640000,0.630000,30,701.9
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681973889,1785682200000,0.380000,0.370000,0.630000,0.620000,203.88,10
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681974390,1785682200000,0.370000,0.360000,0.640000,0.630000,167.3,357
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681974890,1785682200000,0.370000,0.360000,0.640000,0.630000,96.07,425.86
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681975390,1785682200000,0.370000,0.360000,0.640000,0.630000,1.79,454.52
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681975891,1785682200000,0.390000,0.370000,0.630000,0.610000,126.1,254.86
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681976389,1785682200000,0.390000,0.380000,0.620000,0.610000,132.79,308.12
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681976890,1785682200000,0.390000,0.380000,0.620000,0.610000,247.81,293.12
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681977389,1785682200000,0.390000,0.380000,0.620000,0.610000,326.26,177.74
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681977890,1785682200000,0.390000,0.380000,0.620000,0.610000,333.26,172.74
0xd667d3a8a6a565605982a0d319ae5204d390b585ec2a95d7e62bb8520cb3b877,2026-08-02NDH24:45:00Z,1785681978391,1785682200000,0.390000,0.380000,0.620000,0.610000,259.02,172.74
